@relation AVRO_Training_Set_17

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
43,1,0,2,0,1,4,4,0,1,44,44,44,44,44,44,0,44,NO
54,1,0,1,0,3,0,0,0,1,54,54,54,54,54,54,0,54,NO
205,1,0,5,5,11,4,4,0,1,205,205,205,205,205,205,0,205,NO
121,1,0,8,3,3,6,6,5,1,121,121,121,121,121,121,0,121,NO
107,1,0,1,0,4,3,7,2,1,107,107,107,107,107,107,0,107,NO
74,1,0,8,2,4,0,0,0,1,74,74,74,74,74,74,0,74,NO
76,2,0,1,1,3,6,6,1,2,78,77,39,80,77,39,2,39,NO
412,3,0,39,7,16,15,17,9,2,416,413,138.666667,446,413,143,14,143,YES
146,2,0,3,2,10,6,6,4,2,146,146,73,150,146,74,2,74,NO
125,1,0,4,4,9,4,4,5,1,125,125,125,125,125,125,0,125,NO
75,1,0,5,1,0,2,2,6,1,76,76,76,76,76,76,0,76,NO
47,1,0,2,0,0,0,0,5,1,48,48,48,48,48,48,0,48,NO
34,1,0,1,0,0,5,5,0,1,34,34,34,34,34,34,0,34,NO
39,1,0,2,0,0,5,5,0,1,39,39,39,39,39,39,0,39,NO
36,1,0,2,0,0,5,5,0,1,37,37,37,37,37,37,0,37,NO
79,1,0,6,2,6,3,8,1,1,80,80,80,80,80,80,0,80,NO
28,1,0,2,0,1,2,2,0,1,29,29,29,29,29,29,0,29,NO
422,4,1,14,6,16,12,12,4,2,425,424,106.25,457,424,110,14,110,NO
